기준분기,연령대,소득추정등급,"대출금액합계<미적용, 십만원>","차주수합계<미적용, 명>"
2010Q1,20대,00,28038,405
2010Q1,20대,01,7905,35
2010Q1,20대,02,2850,13
2010Q1,20대,03,9847,38
2010Q1,20대,04,5904,22
2010Q1,20대,05,43503,74
2010Q1,20대,06,63361,83
2010Q1,20대,07,110548,192
2010Q1,20대,08,210643,462
2010Q1,20대,09,345465,1058
2010Q1,20대,10,369394,1365
2010Q1,20대,11,447617,2611
2010Q1,20대,12,650840,4839
2010Q1,20대,13,695343,8373
2010Q1,20대,14,1020315,10119
2010Q1,20대,15,760238,10235
2010Q1,30대,00,214015,2448
2010Q1,30대,01,481007,395
2010Q1,30대,02,267161,243
2010Q1,30대,03,645304,663
2010Q1,30대,04,638724,570
2010Q1,30대,05,1053967,1235
2010Q1,30대,06,1726208,2222
2010Q1,30대,07,2341855,3833
2010Q1,30대,08,3321517,7242
2010Q1,30대,09,4009372,11923
2010Q1,30대,10,2296852,9412
2010Q1,30대,11,1788324,8131
2010Q1,30대,12,932145,5137
2010Q1,30대,13,717371,4076
2010Q1,30대,14,717037,5064
2010Q1,30대,15,104379,568
2010Q1,40대,00,295140,2864
2010Q1,40대,01,1696198,1059
2010Q1,40대,02,1684183,1000
2010Q1,40대,03,3543440,3125
2010Q1,40대,04,2660752,2841
2010Q1,40대,05,3631718,4914
2010Q1,40대,06,4038729,6863
2010Q1,40대,07,4676745,10175
2010Q1,40대,08,5132506,14433
2010Q1,40대,09,3992980,14388
2010Q1,40대,10,1824190,7965
2010Q1,40대,11,1014646,4458
2010Q1,40대,12,245141,1535
2010Q1,40대,13,132025,634
2010Q1,40대,14,103071,517
2010Q1,40대,15,81694,314
2010Q1,50대,00,163228,1390
2010Q1,50대,01,1273842,634
2010Q1,50대,02,1483199,885
2010Q1,50대,03,3004677,2472
2010Q1,50대,04,1967147,2087
2010Q1,50대,05,2218956,3034
2010Q1,50대,06,2796247,4367
2010Q1,50대,07,3240163,6283
2010Q1,50대,08,3718414,10446
2010Q1,50대,09,2720856,9027
2010Q1,50대,10,1614732,6532
2010Q1,50대,11,435333,2115
2010Q1,50대,12,116749,447
2010Q1,50대,13,66248,257
2010Q1,50대,14,72018,274
2010Q1,50대,15,44093,164
2010Q1,60대,00,29658,306
2010Q1,60대,01,311268,95
2010Q1,60대,02,346691,132
2010Q1,60대,03,689243,313
2010Q1,60대,04,459333,303
2010Q1,60대,05,636688,515
2010Q1,60대,06,808421,977
2010Q1,60대,07,951176,1426
2010Q1,60대,08,1223209,2271
2010Q1,60대,09,1430821,3820
2010Q1,60대,10,983729,3260
2010Q1,60대,11,462691,1342
2010Q1,60대,12,368687,1360
2010Q1,60대,13,486280,1749
2010Q1,60대,14,173237,694
2010Q1,60대,15,11851,33
2010Q1,70세 이상,00,13573,61
2010Q1,70세 이상,01,10430,5
2010Q1,70세 이상,03,2431,1
2010Q1,70세 이상,04,10540,5
2010Q1,70세 이상,05,850,1
2010Q1,70세 이상,06,25929,3
2010Q1,70세 이상,07,2743,1
2010Q1,70세 이상,08,80,1
2010Q1,70세 이상,09,1523,1
2010Q1,70세 이상,10,435,1
2010Q1,70세 이상,11,940,3
2010Q1,70세 이상,12,3200,4
2010Q1,70세 이상,13,2092278,3460
2010Q1,70세 이상,14,678250,1667
2010Q1,70세 이상,15,111273,508
2010Q2,20대,00,27987,398
2010Q2,20대,01,8766,40
2010Q2,20대,02,5526,15
2010Q2,20대,03,10065,43
2010Q2,20대,04,12443,28
2010Q2,20대,05,64718,85
2010Q2,20대,06,71671,104
2010Q2,20대,07,132595,215
2010Q2,20대,08,243873,545
2010Q2,20대,09,397344,1247
2010Q2,20대,10,405890,1508
2010Q2,20대,11,537557,3097
2010Q2,20대,12,713577,5086
2010Q2,20대,13,717718,8212
2010Q2,20대,14,1073335,10502
2010Q2,20대,15,774751,10207
2010Q2,30대,00,220451,2496
2010Q2,30대,01,533790,447
2010Q2,30대,02,352943,296
2010Q2,30대,03,786910,769
2010Q2,30대,04,812108,639
2010Q2,30대,05,1324147,1489
2010Q2,30대,06,1996716,2548
2010Q2,30대,07,2720577,4369
2010Q2,30대,08,3746174,8074
2010Q2,30대,09,4396831,12922
2010Q2,30대,10,2496828,9881
2010Q2,30대,11,1966546,8773
2010Q2,30대,12,997393,5356
2010Q2,30대,13,753896,4224
2010Q2,30대,14,752397,5175
2010Q2,30대,15,124806,641
2010Q2,40대,00,308815,2914
2010Q2,40대,01,2095129,1214
2010Q2,40대,02,1937113,1150
2010Q2,40대,03,4005480,3481
2010Q2,40대,04,3076391,3211
2010Q2,40대,05,4034294,5336
2010Q2,40대,06,4516258,7438
2010Q2,40대,07,5183923,11010
2010Q2,40대,08,5662434,15572
2010Q2,40대,09,4414814,15065
2010Q2,40대,10,1879354,8078
2010Q2,40대,11,984471,4570
2010Q2,40대,12,241233,1452
2010Q2,40대,13,180486,751
2010Q2,40대,14,125183,584
2010Q2,40대,15,98005,355
2010Q2,50대,00,167055,1409
2010Q2,50대,01,1626929,758
2010Q2,50대,02,1714681,982
2010Q2,50대,03,3288099,2630
2010Q2,50대,04,2139210,2198
2010Q2,50대,05,2627253,3376
2010Q2,50대,06,2990997,4646
2010Q2,50대,07,3463175,6607
2010Q2,50대,08,4107960,10954
2010Q2,50대,09,3052262,9587
2010Q2,50대,10,1699452,6547
2010Q2,50대,11,489562,2189
2010Q2,50대,12,121324,471
2010Q2,50대,13,104926,344
2010Q2,50대,14,90720,322
2010Q2,50대,15,47875,178
2010Q2,60대,00,33270,324
2010Q2,60대,01,357375,109
2010Q2,60대,02,395814,138
2010Q2,60대,03,750212,354
2010Q2,60대,04,499335,335
2010Q2,60대,05,817354,614
2010Q2,60대,06,869544,1096
2010Q2,60대,07,1132188,1571
2010Q2,60대,08,1412984,2562
2010Q2,60대,09,1647788,4233
2010Q2,60대,10,1108134,3506
2010Q2,60대,11,513016,1488
2010Q2,60대,12,427096,1424
2010Q2,60대,13,548497,1900
2010Q2,60대,14,169390,737
2010Q2,60대,15,14473,43
2010Q2,70세 이상,00,14805,67
2010Q2,70세 이상,01,11760,7
2010Q2,70세 이상,02,4298,2
2010Q2,70세 이상,03,3952,3
2010Q2,70세 이상,04,10540,5
2010Q2,70세 이상,05,1883,2
2010Q2,70세 이상,06,36579,5
2010Q2,70세 이상,07,6943,2
2010Q2,70세 이상,08,280,1
2010Q2,70세 이상,09,3091,4
2010Q2,70세 이상,10,435,1
2010Q2,70세 이상,11,960,4
2010Q2,70세 이상,12,3200,4
