,loan_ir,credit_loan_ir,savings_rate,house_price_index,kospi,kosdaq,krx_transaction,house_savings,cpi
2010-01-31,6.02,7.64,3.84,78.36931006,1602.43,496.57,258243163.0,364008.3,85.351
2010-02-28,5.92,7.41,3.58,78.57333863,1594.58,507.03,163736548.0,383286.1,85.523
2010-03-31,5.8,7.42,3.25,78.74687057,1692.85,515.74,193438213.0,384254.0,85.696
2010-04-30,5.46,7.01,2.86,78.88441969,1741.56,523.75,209766895.0,387818.2,86.041
2010-05-31,5.16,6.27,2.84,78.90369068,1641.25,489.42,198346507.0,386525.6,86.128
2010-06-30,5.15,7.06,2.96,78.90235562,1698.29,489.98,178523265.0,394075.5,86.041
2010-07-31,5.13,7.22,3.03,78.77809818,1759.33,481.45,197809717.0,399693.0,86.214
2010-08-31,5.26,7.22,3.11,78.69866369,1742.75,464.71,184621324.0,399492.4,86.647
2010-09-30,5.22,7.22,3.05,78.74992472,1872.81,492.75,173789937.0,404567.9,87.337
2010-10-31,5.21,7.36,2.99,78.88441261,1882.95,526.45,221976210.0,403890.8,87.337
2010-11-30,5.15,7.35,3.06,79.14067284,1904.63,498.39,239103935.0,405592.2,86.906
2010-12-31,5.08,7.1,3.3,79.41057851,2051.0,510.69,212761133.0,414471.6,87.251
2011-01-31,5.3,7.44,3.43,79.73653691,2069.73,521.38,277177129.0,416858.5,88.288
2011-02-28,5.26,7.33,3.59,80.29437425,1939.3,504.46,171238101.0,416485.0,88.892
2011-03-31,5.41,7.76,3.64,80.99279204,2106.7,525.42,246582996.0,420317.3,89.238
2011-04-30,5.42,7.7,3.67,81.91610606,2192.36,511.0,308386325.0,424771.1,89.325
2011-05-31,5.49,7.7,3.65,82.03916481,2142.47,484.54,200795799.0,423230.7,89.497
2011-06-30,5.47,7.53,3.69,82.42181782,2100.69,479.55,190645191.0,427749.3,89.67
2011-07-31,5.46,7.79,3.78,82.74857127,2133.21,536.05,238017551.0,427182.7,90.102
2011-08-31,5.58,7.96,3.75,83.15004704,1880.11,493.44,299266398.0,423317.8,90.707
2011-09-30,5.66,8.27,3.7,83.56592908,1769.65,449.66,226414616.0,429596.8,90.62
