time,t,o,h,l,c,v
2013-12-26,1388070000000,737000,755000,737000,755000,3.78
2013-12-27,1388156400000,750000,750000,750000,750000,12
2013-12-28,1388242800000,750000,750000,728000,739000,19.058
2013-12-29,1388329200000,740000,772000,740000,768000,9.488973
2013-12-30,1388415600000,768000,800000,763000,768000,18.65035033
2013-12-31,1388502000000,768000,795000,765000,777000,65.38033381
2014-01-01,1388588400000,776000,788000,773000,778000,83.20397752
2014-01-02,1388674800000,778000,840000,774000,834000,124.33029182
2014-01-03,1388761200000,831000,846000,819000,846000,107.75704665
2014-01-04,1388847600000,846000,925000,845000,925000,140.70979378
2014-01-05,1388934000000,928000,1050000,920000,1010000,222.72262804
2014-01-06,1389020400000,1001000,1026000,900000,935000,169.05011477
2014-01-07,1389106800000,935000,960000,825000,897000,194.55961145
2014-01-08,1389193200000,880000,909000,860000,865000,140.51522769
2014-01-09,1389279600000,875000,905000,862000,890000,126.60366906
2014-01-10,1389366000000,889000,950000,880000,932000,144.63517814
2014-01-11,1389452400000,935000,952000,904000,910000,129.84153237
2014-01-12,1389538800000,920000,925000,872000,881000,105.8332088
2014-01-13,1389625200000,877000,905000,872000,874000,119.62287814
2014-01-14,1389711600000,889000,918000,875000,905000,138.06056544
2014-01-15,1389798000000,895000,940000,892000,910000,216.14782104
2014-01-16,1389884400000,904000,913000,872000,885000,201.18492756
2014-01-17,1389970800000,888000,906000,868000,885000,133.53712889
2014-01-18,1390057200000,887000,899000,870000,893000,147.45643678
2014-01-19,1390143600000,893000,914000,890000,898000,198.08278124
2014-01-20,1390230000000,898000,906000,891000,899000,204.65155445
2014-01-21,1390316400000,895000,904000,891000,892000,228.7038422
2014-01-22,1390402800000,895000,898000,886000,888000,223.74829689
2014-01-23,1390489200000,891000,891000,848000,870000,358.41597676
2014-01-24,1390575600000,864000,874000,858000,870000,192.06581564
2014-01-25,1390662000000,867000,894000,866000,892000,267.95278315
2014-01-26,1390748400000,893000,903000,879000,886000,285.27768931
2014-01-27,1390834800000,880000,885000,848000,879000,244.29252255
2014-01-28,1390921200000,871000,876000,857000,864000,130.50348362
2014-01-29,1391007600000,865000,874000,863000,874000,121.4175575
2014-01-30,1391094000000,874000,886000,874000,883000,110.71834803
2014-01-31,1391180400000,882000,899000,879000,899000,159.01831297
2014-02-01,1391266800000,900000,907000,887000,902000,208.17334755
2014-02-02,1391353200000,902000,904000,890000,896000,209.50152278
2014-02-03,1391439600000,897000,897000,882000,891000,141.13545967
2014-02-04,1391526000000,892000,892000,886000,890000,119.86970917
2014-02-05,1391612400000,888000,889000,857000,866000,230.93727352
2014-02-06,1391698800000,866000,869000,751000,824000,582.19373117
2014-02-07,1391785200000,824000,874000,790000,821000,266.73130187
2014-02-08,1391871600000,821000,821000,782000,805000,211.85764079
2014-02-09,1391958000000,805000,825000,700000,756000,609.6699087
2014-02-10,1392044400000,760000,801000,739000,776000,507.90070803
2014-02-11,1392130800000,777000,777000,713000,729000,373.10717116
2014-02-12,1392217200000,728000,738000,708000,715000,250.73406164
2014-02-13,1392303600000,710000,716000,551000,681000,560.03562174
2014-02-14,1392390000000,686000,771000,682000,687000,327.92850964
2014-02-15,1392476400000,689000,711000,665000,681000,110.87317765
2014-02-16,1392562800000,683000,709000,645000,693000,400.56506482
2014-02-17,1392649200000,699000,699000,652000,678000,256.64485641
2014-02-18,1392735600000,679000,689000,675000,676000,243.30067524
2014-02-19,1392822000000,678000,682000,637000,655000,335.47867266
2014-02-20,1392908400000,644000,670000,580000,642000,501.15539524
2014-02-21,1392994800000,633000,642000,601000,618000,167.98700984
2014-02-22,1393081200000,625000,693000,619000,670000,266.03109447
2014-02-23,1393167600000,670000,676000,617000,633000,389.69032522
2014-02-24,1393254000000,629000,635000,490000,576000,746.42944787
2014-02-25,1393340400000,580000,628000,577000,600000,453.25668613
2014-02-26,1393426800000,604000,624000,603000,610000,214.3489589
2014-02-27,1393513200000,610000,615000,597000,605000,205.29156729
2014-02-28,1393599600000,600000,607000,583000,598000,67.71346259
2014-03-01,1393686000000,598000,607000,598000,600000,47.83875485
2014-03-02,1393772400000,599000,616000,596000,605000,239.70793771
2014-03-03,1393858800000,610000,736000,610000,736000,554.11606408
2014-03-04,1393945200000,733000,736000,670000,690000,315.50685809
2014-03-05,1394031600000,690000,700000,680000,685000,254.9425926
2014-03-06,1394118000000,680000,688000,608000,657000,324.75856813
2014-03-07,1394204400000,655000,662000,631000,646000,157.82364116
2014-03-08,1394290800000,644000,667000,634000,656000,163.22582534
2014-03-09,1394377200000,652000,669000,647000,654000,169.00026625
2014-03-10,1394463600000,649000,659000,646000,652000,224.34737065
2014-03-11,1394550000000,652000,670000,650000,664000,352.80721224
2014-03-12,1394636400000,664000,675000,661000,669000,225.05414224
2014-03-13,1394722800000,669000,680000,667000,669000,279.74805383
2014-03-14,1394809200000,668000,673000,665000,670000,88.41220492
2014-03-15,1394895600000,670000,678000,669000,674000,110.99737402
2014-03-16,1394982000000,673000,677000,657000,668000,289.87505043
2014-03-17,1395068400000,667000,669000,645000,649000,224.6539174
2014-03-18,1395154800000,649000,664000,649000,653000,233.06790478
2014-03-19,1395241200000,652000,658000,630000,638000,304.07344056
2014-03-20,1395327600000,633000,655000,615000,620000,479.67618167
2014-03-21,1395414000000,621000,628000,594000,601000,211.06852219
2014-03-22,1395500400000,606000,615000,602000,610000,128.14801516
2014-03-23,1395586800000,611000,618000,591000,601000,362.74517425
2014-03-24,1395673200000,604000,627000,600000,619000,368.10804774
2014-03-25,1395759600000,618000,626000,613000,624000,510.59664114
2014-03-26,1395846000000,625000,626000,548000,552000,695.16945889
2014-03-27,1395932400000,549000,571000,502000,539000,801.27252866
2014-03-28,1396018800000,533000,540000,524000,527000,214.92547577
2014-03-29,1396105200000,525000,530000,488000,488000,291.8200994
2014-03-30,1396191600000,488000,513000,455000,476000,555.41545198
2014-03-31,1396278000000,482000,512000,466000,496000,361.12470947
2014-04-01,1396364400000,495000,509000,480000,480000,286.15857015
2014-04-02,1396450800000,478000,480000,400000,438000,577.93569639
2014-04-03,1396537200000,439000,470000,436000,460000,273.87144953
2014-04-04,1396623600000,461000,473000,452000,465000,111.09925082
2014-04-05,1396710000000,466000,485000,466000,477000,265.38441562
2014-04-06,1396796400000,477000,483000,471000,471000,159.04720642
2014-04-07,1396882800000,472000,483000,469000,473000,289.12122584
2014-04-08,1396969200000,474000,480000,465000,467000,330.82693761
2014-04-09,1397055600000,467000,472000,418000,426000,392.02164635
2014-04-10,1397142000000,426000,448000,381000,431000,688.96310569
2014-04-11,1397228400000,434000,467000,433000,453000,251.10439015
2014-04-12,1397314800000,452000,453000,433000,434000,223.78070459
2014-04-13,1397401200000,434000,514000,425000,498000,634.63303554
2014-04-14,1397487600000,497000,549000,490000,528000,831.46321635
2014-04-15,1397574000000,530000,593000,528000,548000,680.38734417
2014-04-16,1397660400000,551000,580000,512000,531000,414.07364155
2014-04-17,1397746800000,531000,544000,510000,514000,294.07564967
2014-04-18,1397833200000,514000,537000,504000,524000,175.64194284
2014-04-19,1397919600000,524000,546000,520000,532000,70.41012243
2014-04-20,1398006000000,532000,548000,523000,533000,231.04023338
2014-04-21,1398092400000,534000,540000,524000,531000,127.45040897
2014-04-22,1398178800000,533000,538000,515000,520000,359.20169346
2014-04-23,1398265200000,523000,526000,513000,524000,166.72869108
2014-04-24,1398351600000,523000,534000,471000,475000,490.67495814
2014-04-25,1398438000000,477000,487000,460000,478000,157.78195148
2014-04-26,1398524400000,480000,483000,470000,478000,94.36345116
2014-04-27,1398610800000,478000,478000,432000,456000,300.06434295
2014-04-28,1398697200000,456000,473000,451000,469000,272.60531702
2014-04-29,1398783600000,464000,468000,450000,466000,313.41384894
2014-04-30,1398870000000,466000,473000,461000,465000,172.01252705
2014-05-01,1398956400000,465000,474000,460000,461000,288.99590055
2014-05-02,1399042800000,462000,466000,440000,459000,186.78863759
2014-05-03,1399129200000,452000,460000,450000,456000,122.20184658
2014-05-04,1399215600000,456000,457000,444000,447000,98.11248616
2014-05-05,1399302000000,447000,460000,435000,449000,206.73222645
2014-05-06,1399388400000,452000,460000,445000,460000,350.73150153
2014-05-07,1399474800000,460000,468000,459000,459000,283.06137113
2014-05-08,1399561200000,462000,469000,456000,469000,283.32853995
2014-05-09,1399647600000,469000,476000,462000,472000,172.12950633
2014-05-10,1399734000000,471000,474000,455000,455000,177.71673068
2014-05-11,1399820400000,455000,461000,448000,455000,150.37578647
2014-05-12,1399906800000,453000,460000,450000,451000,269.45777337
2014-05-13,1399993200000,451000,459000,451000,454000,173.30829705
2014-05-14,1400079600000,455000,480000,454000,464000,254.75124916
2014-05-15,1400166000000,464000,470000,457000,468000,387.48135816
2014-07-01,1404226800000,681000,684000,656000,672000,699.59408339
2014-07-02,1404313200000,672000,676000,663000,665000,859.46885769
2014-07-03,1404399600000,665000,668000,642000,650000,803.76260341
2014-07-04,1404486000000,654000,656000,635000,651000,504.01854433
2014-07-05,1404572400000,651000,656000,646000,650000,471.15895136
2014-07-06,1404658800000,650000,653000,639000,640000,998.09102809
2014-07-07,1404745200000,640000,648000,634000,638000,616.63332342
2014-07-08,1404831600000,640000,648000,637000,640000,1115.62134526
2014-07-09,1404918000000,640000,648000,634000,640000,2276.18118054
2014-07-10,1405004400000,642000,643000,634000,642000,1250.1869096
2014-07-11,1405090800000,643000,652000,640000,645000,503.56424022
2014-07-12,1405177200000,645000,650000,642000,645000,217.63870693
2014-07-13,1405263600000,648000,649000,633000,634000,446.06821868
2014-07-14,1405350000000,637000,647000,634000,641000,804.74079116
2014-07-15,1405436400000,641000,647000,637000,637000,799.6852448
