,guaranteed_loan_ir,house_charter_index,charter_search_trend_20
2010-01-31,6.06,68.44321877,
2010-02-28,5.66,68.83660039,
2010-03-31,5.68,69.27321788,
2010-04-30,5.49,69.6874032,
2010-05-31,5.35,69.9875434,
2010-06-30,5.47,70.2205517,
2010-07-31,5.34,70.40011209,
2010-08-31,4.87,70.62874805,
2010-09-30,5.14,71.06205035,
2010-10-31,5.06,71.64006878,
2010-11-30,5.12,72.33629744,
2010-12-31,5.34,72.82193986,
2011-01-31,5.48,73.38334889,
2011-02-28,5.15,74.51254574,
2011-03-31,5.42,75.8004868,
2011-04-30,5.51,77.05225842,
2011-05-31,5.69,77.19781972,
2011-06-30,5.54,77.68098152,
2011-07-31,5.45,78.28639282,
2011-08-31,5.5,79.13939106,
2011-09-30,5.36,80.1897752,
2011-10-31,5.54,80.88788408,
2011-11-30,5.5,81.28233168,
2011-12-31,5.46,81.34549594,
2012-01-31,5.63,81.66241944,
2012-02-29,5.41,81.75395068,
2012-03-31,5.42,81.82035797,
2012-04-30,5.34,81.86267661,
2012-05-31,5.5,81.88490618,
2012-06-30,5.37,81.85228468,
2012-07-31,5.34,81.72656736,
2012-08-31,5.05,81.67946459,
2012-09-30,5.0,81.87071059,
2012-10-31,5.33,82.14654663,
2012-11-30,4.88,82.35538663,
2012-12-31,4.61,82.52232835,
2013-01-31,4.79,82.6893311,
2013-02-28,4.52,82.87118273,
2013-03-31,4.54,83.16272238,
2013-04-30,4.47,83.55404351,
2013-05-31,4.43,83.79707686,
2013-06-30,4.29,83.97808012,
2013-07-31,4.29,84.23058102,
2013-08-31,4.13,84.58286486,
2013-09-30,4.12,85.0184388,
2013-10-31,4.07,85.59704342,
2013-11-30,4.05,86.04182187,
2013-12-31,3.97,86.40435312,
2014-01-31,4.01,86.91199591,
2014-02-28,3.94,87.33468805,
2014-03-31,3.93,87.7439615,
2014-04-30,3.85,87.86654532,
2014-05-31,3.85,87.92376468,
2014-06-30,3.82,88.00799,
2014-07-31,3.83,88.12232691,
2014-08-31,3.74,88.27165164,
2014-09-30,3.7,88.54676187,
2014-10-31,3.59,88.83703064,
2014-11-30,3.49,89.10104072,
2014-12-31,3.42,89.3398184,
2015-01-31,3.44,89.58061591,
2015-02-28,3.41,89.87750008,
2015-03-31,3.34,90.29471429,
2015-04-30,3.23,90.83019122,
2015-05-31,3.13,91.23276341,
2015-06-30,3.09,91.68429524,
2015-07-31,2.97,91.99653162,
2015-08-31,2.9,92.27957494,
2015-09-30,2.85,92.65894214,
2015-10-31,2.78,93.04622327,
2015-11-30,2.78,93.42993618,
2015-12-31,2.91,93.67082806,
2016-01-31,2.98,93.79881344,41.40247
2016-02-29,2.95,93.90524322,38.46471
2016-03-31,2.94,94.00279411,36.31154
2016-04-30,2.92,94.12582202,32.17795
2016-05-31,2.89,94.22782489,34.17859
2016-06-30,2.88,94.32686741,35.43004
2016-07-31,2.92,94.40386734,34.37073
2016-08-31,2.85,94.4789357,39.72459
2016-09-30,2.86,94.55315995,36.32081
2016-10-31,2.89,94.68925941,40.90188
2016-11-30,3.0,94.82983124,40.78137
2016-12-31,3.07,94.90753626,48.18981
2017-01-31,3.23,94.93626235,52.6942
2017-02-28,3.22,94.9683923,47.00662
2017-03-31,3.22,95.03961816,42.43902
2017-04-30,3.15,95.10342507,35.80337
2017-05-31,3.29,95.17420698,39.96224
2017-06-30,3.21,95.24788779,40.52097
2017-07-31,3.35,95.30172481,41.92327
2017-08-31,3.35,95.37369794,50.06067
2017-09-30,3.28,95.43236928,44.19359
2017-10-31,3.37,95.48551091,55.15666
2017-11-30,3.43,95.53047436,56.6761
2017-12-31,3.49,95.50426646,53.9524
2018-01-31,3.62,95.45862179,68.69006
2018-02-28,3.55,95.3730988,54.2187
2018-03-31,3.58,95.24502595,57.34354
2018-04-30,3.59,95.06218677,49.41935
2018-05-31,3.64,94.80011631,49.82892
2018-06-30,3.61,94.561375,49.10923
2018-07-31,3.65,94.36241724,52.94449
2018-08-31,3.58,94.17614201,62.14373
2018-09-30,3.56,94.1011619,60.15573
2018-10-31,3.57,94.05134239,68.47853
2018-11-30,3.57,93.96463516,64.32724
2018-12-31,3.58,93.78847389,71.83428
2019-01-31,3.6,93.58384931,86.98993
2019-02-28,3.49,93.37627771,75.74202
2019-03-31,3.48,93.14546428,67.97963
2019-04-30,3.43,92.87533647,59.7015
2019-05-31,3.43,92.67329326,68.25774
2019-06-30,3.2,92.47835111,63.16596
2019-07-31,3.11,92.30648522,66.8074
2019-08-31,2.95,92.21402202,71.4441
2019-09-30,3.2,92.19065228,76.92521
2019-10-31,3.25,92.26997895,76.07743
2019-11-30,3.18,92.40273701,72.99978
2019-12-31,3.24,92.60311799,84.58057
2020-01-31,3.13,92.85935961,97.00662
2020-02-29,3.02,93.05417317,86.20367
2020-03-31,2.99,93.23252342,92.7542
2020-04-30,2.93,93.33308789,84.68254
2020-05-31,2.83,93.41583476,80.42001
2020-06-30,2.66,93.65886754,90.32967
2020-07-31,2.58,93.96212039,93.50171
2020-08-31,2.49,94.37232219,100.0
2020-09-30,2.52,94.86815388,82.51251
2020-10-31,2.51,95.31381356,87.48462
2020-11-30,2.66,95.94052718,88.39813
2020-12-31,2.69,96.86839072,95.4088
2021-01-31,2.7,97.55448006,95.61443
2021-02-28,2.64,98.18351933,74.19982
2021-03-31,2.67,98.63679196,76.98504
2021-04-30,2.73,98.99129216,66.18378
2021-05-31,2.67,99.34518648,68.34791
2021-06-30,2.65,100.0,67.46641
2021-07-31,2.76,100.5884397,71.47022
2021-08-31,2.85,101.2258426,89.71616
2021-09-30,2.92,101.8246896,75.44959
