time,DT,Open,Low,High,Close,Volume,Adj_Close
2014-08-22,1408665600000,650000,640000,650000,640000,0.0013,640000
2014-08-25,1408924800000,400000,400000,550000,523000,0.0338,523000
2014-08-26,1409011200000,522000,510000,527000,522000,1.0758,522000
2014-08-27,1409097600000,522000,520000,550000,525000,0.2033,525000
2014-08-28,1409184000000,526000,516000,526000,516000,0.136,516000
2014-08-29,1409270400000,516000,515000,518000,518000,0.0325,518000
2014-08-30,1409356800000,516000,513000,518000,513000,0.0403,513000
2014-08-31,1409443200000,515000,501000,515000,501000,0.1058,501000
2014-09-01,1409529600000,493000,483000,500000,483000,0.0553,483000
2014-09-02,1409616000000,490000,486000,507000,500000,0.0548,500000
2014-09-03,1409702400000,500000,486000,500000,489000,0.0618,489000
2014-09-04,1409788800000,489000,489000,500000,489000,0.0415,489000
2014-09-05,1409875200000,489000,487000,504000,490000,0.1035,490000
2014-09-07,1410048000000,499000,488000,499000,490000,0.0187,490000
2014-09-08,1410134400000,499000,499000,499000,499000,0.0002,499000
2014-09-10,1410307200000,490000,487000,490000,490000,0.016,490000
2014-09-11,1410393600000,500000,490000,500000,500000,0.0033,500000
2014-09-12,1410480000000,490000,488000,490000,490000,0.0314,490000
2014-09-13,1410566400000,490000,486000,500000,486000,0.1076,486000
2014-09-14,1410652800000,486000,485000,504000,485000,0.1577,485000
2014-09-16,1410825600000,488000,483000,488000,483000,0.0334,483000
2014-09-17,1410912000000,485000,471000,487000,478000,0.1362,478000
2014-09-18,1410998400000,474000,469000,474000,471000,0.0464,471000
2014-09-19,1411084800000,473000,420000,473000,420000,0.2526,420000
2014-09-22,1411344000000,435000,435000,435000,435000,0.001,435000
2014-09-25,1411603200000,435000,435000,435000,435000,0.001,435000
2014-09-27,1411776000000,435000,415000,435000,415000,0.0809,415000
2014-09-29,1411948800000,420000,390000,420000,399000,0.2016,399000
2014-09-30,1412035200000,400000,400000,400000,400000,0.0001,400000
2014-10-01,1412121600000,400000,400000,403000,403000,0.0904,403000
2014-10-02,1412208000000,400000,399000,400000,399000,0.0136,399000
2014-10-03,1412294400000,399000,392000,399000,392000,0.1314,392000
2014-10-04,1412380800000,392000,392000,392000,392000,0.0001,392000
2014-10-05,1412467200000,395000,334000,395000,334000,0.7503,334000
2014-10-06,1412553600000,333000,328000,358000,358000,1.4708,358000
2014-10-07,1412640000000,353000,353000,358000,358000,0.1454,358000
2014-10-08,1412726400000,353000,353000,362000,362000,0.5094,362000
2014-10-09,1412812800000,362000,362000,405000,390000,12.9938,390000
2014-10-10,1412899200000,398000,384000,398000,384000,1.5857,384000
2014-10-11,1412985600000,380000,380000,383000,381000,0.071,381000
2014-10-12,1413072000000,383000,377000,383000,377000,0.6856,377000
2014-10-13,1413158400000,377000,376000,397000,397000,1.3864,397000
2014-10-14,1413244800000,398000,398000,415000,415000,4.0312,415000
2014-10-15,1413331200000,412000,400000,416000,416000,0.594,416000
2014-10-16,1413417600000,404000,400000,410000,400000,1.1862,400000
2014-10-17,1413504000000,398000,394000,410000,394000,0.577,394000
2014-10-18,1413590400000,397000,397000,411000,409000,1.271,409000
2014-10-19,1413676800000,408000,397000,408000,404000,0.6952,404000
2014-10-21,1413849600000,397000,397000,397000,397000,0.0021,397000
2014-10-22,1413936000000,401000,400000,401000,401000,0.14,401000
2014-10-23,1414022400000,397000,375000,401000,377000,1.2365,377000
2014-10-24,1414108800000,380000,377000,381000,381000,0.1106,381000
2014-10-25,1414195200000,376000,368000,376000,369000,1.0223,369000
2014-10-26,1414281600000,370000,367000,377000,377000,0.7843,377000
2014-10-27,1414368000000,377000,365000,378000,367000,0.1895,367000
2014-10-28,1414454400000,370000,369000,375000,374000,0.2163,374000
2014-10-29,1414540800000,368000,362000,393000,362000,2.3917,362000
2014-10-30,1414627200000,361000,351000,361000,360000,6.7648,360000
2014-10-31,1414713600000,361000,351000,363000,355000,2.7814,355000
2014-11-01,1414800000000,354000,342000,354000,342000,3.1665,342000
2014-11-02,1414886400000,345000,340000,350000,342000,5.0044,342000
2014-11-03,1414972800000,344000,341000,412000,346000,21.1565,346000
2014-11-04,1415059200000,351000,340000,389000,348000,36.8916,348000
2014-11-05,1415145600000,349000,349000,370000,360000,7.936,360000
2014-11-06,1415232000000,359000,353000,370000,370000,9.2104,370000
2014-11-07,1415318400000,370000,369000,376000,369000,4.2932,369000
2014-11-08,1415404800000,375000,367000,375000,370000,1.7652,370000
2014-11-09,1415491200000,370000,370000,382000,382000,2.1996,382000
2014-11-10,1415577600000,383000,383000,385000,385000,1.44,385000
2014-11-11,1415664000000,386000,386000,388000,388000,0.33,388000
2014-11-12,1415750400000,388000,388000,443000,443000,4.0338,443000
