,btc_krw,btc_usd,krw_usd_er,btc_krw_binace,btc_krw_premium,btc_krw_transaction,crypto_krw_transaction
2016-01-31,465000,,,,,78360852506.42017,87438913168.20985
2016-02-29,536000,,,,,52190589477.315834,61976328620.74909
2016-03-31,483500,,,,,49320374919.23905,61748172342.082344
2016-04-30,519000,,,,,44572793647.01538,53629057151.48101
2016-05-31,653000,,,,,73618518126.24725,91251056648.57295
2016-06-30,795000,,,,,144184025256.01227,176490171025.93314
2016-07-31,703000,,,,,93454855459.74536,116050261583.43634
2016-08-31,647000,,,,,76403604483.94675,95414742377.8374
2016-09-30,686000,,,,,63906022310.687065,81021340568.98158
2016-10-31,834000,,,,,88668098919.45645,106898218755.89574
2016-11-30,895000,,,,,125919421643.25294,148138804995.84625
2016-12-31,1216000,,,,,189926843182.66675,216817385573.07043
2017-01-31,1174000,,,,,342703732990.29065,402866099742.997
2017-02-28,1421000,,,,,286485619765.2013,332900720685.4519
2017-03-31,1275000,,,,,607690800005.0448,906164960339.8209
2017-04-30,1635000,,,,,459181149639.0133,690009643980.8463
2017-05-31,3119000,,,,,2126503015094.9348,4365858142748.3755
2017-06-30,3050000,,,,,2502367557725.837,6202593459497.176
2017-07-31,3041000,,,,,2402614034049.246,4705981236673.797
2017-08-31,5248000,4724.9,,,,4627625504133.234,10155341369738.521
2017-09-30,4881000,4378.5,1146.7,5020825.95,-139825.9500000002,2815183596289.675,5925299272367.966
2017-10-31,7485000,6463.1,1125.0,7270987.5,214012.5,5704584756735.884,9958486121940.023
2017-11-30,12233000,9800.0,1082.4,10607520.0,1625480.0,17853737188527.17,33700468987265.812
2017-12-31,18657000,13695.5,1071.4,14673358.700000001,3983641.299999999,58234258751579.25,134003201811120.56
2018-01-31,10453000,10281.0,1071.5,11016091.5,-563091.5,30756350467428.46,92527632311018.84
2018-02-28,12023000,10335.0,1071.0,11068785.0,954215.0,15092678152357.186,39777737336512.71
2018-03-31,7193000,6922.0,1066.5,7382313.0,-189313.0,11892881667101.102,27175613216241.1
