,1,52,825,1027,1839,2010,3408,4172,4687,5426,other_total_market_cap,global
2013-04-29,1491167008.9733124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92272991.0266876,1583440000.0
2013-05-06,1289471476.3225555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81408523.6774445,1370880000.0
2013-05-13,1279976295.2480316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75553688.7519684,1355529984.0
2013-05-20,1368906875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76133125.0,1445040000.0
2013-05-27,1495523737.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77806310.5,1573330048.0
2013-06-03,1376180312.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60979623.5,1437159936.0
2013-06-10,1131570787.3334885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60229276.6665115,1191800064.0
2013-06-17,1128715172.2400665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47954779.7599335,1176669952.0
2013-06-24,1222026948.688507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69423035.311493,1291449984.0
2013-07-01,1107131002.0048141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65838981.9951859,1172969984.0
2013-07-08,870912250.6433487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60974725.3566513,931886976.0
2013-07-15,1068522174.4451523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71437889.5548477,1139960064.0
2013-07-22,1053002220.7248688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63537811.2751312,1116540032.0
2013-07-29,1131339022.5717545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87981041.4282455,1219320064.0
2013-08-05,1209521263.6024475,45928353.52076912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81670382.87678339,1337120000.0
2013-08-12,1211791875.0,34511045.8154068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69857079.1845932,1316160000.0
2013-08-19,1312158046.2135315,43678233.03071594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76593672.75575256,1432429952.0
2013-08-26,1417199162.9196167,47719524.89089966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77291360.18948364,1542210048.0
2013-09-02,1613597804.8339844,45334637.15245342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66117542.01356218,1725049984.0
2013-09-09,1422176276.6231537,48417799.73300171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71115875.64384459,1541709952.0
2013-09-16,1531820995.1446533,50785733.71592331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66033271.13942339,1648640000.0
2013-09-23,1513944618.3506012,81265761.13004494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76289652.51935387,1671500032.0
2013-09-30,1614348004.4075012,100459589.39612961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67932374.19636919,1782739968.0
2013-10-07,1527762511.7965698,75587712.86523056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61289775.33819964,1664640000.0
2013-10-14,1648465923.820877,66332367.57738876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69911724.60173424,1784710016.0
2013-10-21,2075575236.2365723,52433484.39620018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64681199.36722752,2192689920.0
2013-10-28,2337096631.970215,53430570.54460716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68792861.48517784,2459320064.0
2013-11-04,2564065445.2430725,55876520.19875336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87337906.55817413,2707279872.0
