기준분기,연령대,성별구분,소득추정등급,"신용관리대상등록총금액<미적용, 금액, 십만원>","신용관리대상등록총금액<미적용, 등록자수, 명>"
2010Q1,20대,남자,00,18630,196
2010Q1,20대,남자,01,380,5
2010Q1,20대,남자,02,1324,1
2010Q1,20대,남자,03,372,4
2010Q1,20대,남자,04,484,2
2010Q1,20대,남자,05,12404,7
2010Q1,20대,남자,06,3028,3
2010Q1,20대,남자,07,36038,11
2010Q1,20대,남자,08,3753,16
2010Q1,20대,남자,09,18406,24
2010Q1,20대,남자,10,47137,61
2010Q1,20대,남자,11,37772,247
2010Q1,20대,남자,12,119655,734
2010Q1,20대,남자,13,33857,1026
2010Q1,20대,남자,14,10336,108
2010Q1,20대,남자,15,1490,38
2010Q1,20대,여자,00,24936,258
2010Q1,20대,여자,01,339,4
2010Q1,20대,여자,02,0,0
2010Q1,20대,여자,03,37,2
2010Q1,20대,여자,04,0,0
2010Q1,20대,여자,05,57,1
2010Q1,20대,여자,06,539,3
2010Q1,20대,여자,07,972,5
2010Q1,20대,여자,08,2072,6
2010Q1,20대,여자,09,1493,15
2010Q1,20대,여자,10,3138,21
2010Q1,20대,여자,11,9557,27
2010Q1,20대,여자,12,6553,23
2010Q1,20대,여자,13,3383,43
2010Q1,20대,여자,14,99214,1002
2010Q1,20대,여자,15,38252,818
2010Q1,30대,남자,00,339570,1750
2010Q1,30대,남자,01,22969,33
2010Q1,30대,남자,02,11497,11
2010Q1,30대,남자,03,29877,36
2010Q1,30대,남자,04,17998,18
2010Q1,30대,남자,05,56631,37
2010Q1,30대,남자,06,68006,63
2010Q1,30대,남자,07,149999,94
2010Q1,30대,남자,08,260368,456
2010Q1,30대,남자,09,411083,1106
2010Q1,30대,남자,10,439394,1463
2010Q1,30대,남자,11,290567,1146
2010Q1,30대,남자,12,172113,1263
2010Q1,30대,남자,13,19327,237
2010Q1,30대,남자,14,8897,80
2010Q1,30대,남자,15,6662,16
2010Q1,30대,여자,00,234063,1267
2010Q1,30대,여자,01,12615,14
2010Q1,30대,여자,02,817,4
2010Q1,30대,여자,03,76689,21
2010Q1,30대,여자,04,11395,13
2010Q1,30대,여자,05,3444,24
2010Q1,30대,여자,06,15313,23
2010Q1,30대,여자,07,15574,23
2010Q1,30대,여자,08,69660,41
2010Q1,30대,여자,09,67127,141
2010Q1,30대,여자,10,136410,260
2010Q1,30대,여자,11,192638,520
2010Q1,30대,여자,12,140284,585
2010Q1,30대,여자,13,134009,745
2010Q1,30대,여자,14,179372,1277
2010Q1,30대,여자,15,8590,108
2010Q1,40대,남자,00,1161094,2305
2010Q1,40대,남자,01,342157,81
2010Q1,40대,남자,02,188551,37
2010Q1,40대,남자,03,244501,83
2010Q1,40대,남자,04,137622,67
2010Q1,40대,남자,05,328931,103
2010Q1,40대,남자,06,519312,403
2010Q1,40대,남자,07,2911037,1135
2010Q1,40대,남자,08,2560431,2566
2010Q1,40대,남자,09,986029,2423
2010Q1,40대,남자,10,1137266,1357
2010Q1,40대,남자,11,121299,904
2010Q1,40대,남자,12,5095,27
2010Q1,40대,남자,13,6405,28
2010Q1,40대,남자,14,9763,35
2010Q1,40대,남자,15,17596,25
2010Q1,40대,여자,00,329610,1494
2010Q1,40대,여자,01,25759,39
2010Q1,40대,여자,02,51333,23
2010Q1,40대,여자,03,42761,27
2010Q1,40대,여자,04,23180,20
2010Q1,40대,여자,05,29042,35
2010Q1,40대,여자,06,53886,46
2010Q1,40대,여자,07,140436,104
2010Q1,40대,여자,08,232821,296
2010Q1,40대,여자,09,559099,974
2010Q1,40대,여자,10,739978,1715
2010Q1,40대,여자,11,364188,983
2010Q1,40대,여자,12,194393,1005
2010Q1,40대,여자,13,17941,114
2010Q1,40대,여자,14,10846,44
2010Q1,40대,여자,15,9196,39
2010Q1,50대,남자,00,1958645,1173
2010Q1,50대,남자,01,309275,38
2010Q1,50대,남자,02,46846,29
2010Q1,50대,남자,03,240101,55
2010Q1,50대,남자,04,163911,58
2010Q1,50대,남자,05,276227,126
2010Q1,50대,남자,06,7604597,347
2010Q1,50대,남자,07,1541740,809
2010Q1,50대,남자,08,2615449,1687
2010Q1,50대,남자,09,767464,1116
2010Q1,50대,남자,10,2748693,967
2010Q1,50대,남자,11,92831,392
2010Q1,50대,남자,12,3841,9
2010Q1,50대,남자,13,15312,16
2010Q1,50대,남자,14,3724,13
2010Q1,50대,남자,15,8052,15
2010Q1,50대,여자,00,311494,890
2010Q1,50대,여자,01,28053,8
2010Q1,50대,여자,02,12381,8
2010Q1,50대,여자,03,21413,24
2010Q1,50대,여자,04,26584,19
2010Q1,50대,여자,05,26103,16
2010Q1,50대,여자,06,73982,30
2010Q1,50대,여자,07,127169,72
2010Q1,50대,여자,08,184406,277
2010Q1,50대,여자,09,689240,718
