기준분기,연령대,성별구분,소득추정등급,상품구분(NICE)명_대분류,"미해제연체총잔액<미적용, 금액, 십만원>","미해제연체총잔액<미적용, 연체자수, 명>"
2010Q1,20대,남자,0,기타,152,20
2010Q1,20대,남자,0,대출,814,16
2010Q1,20대,남자,0,리스,0,0
2010Q1,20대,남자,0,보증,603,6
2010Q1,20대,남자,0,카드,35,3
2010Q1,20대,남자,0,카드론,0,0
2010Q1,20대,남자,0,할부,365,5
2010Q1,20대,남자,0,-,0,0
2010Q1,20대,남자,1,기타,5,2
2010Q1,20대,남자,1,대출,207,4
2010Q1,20대,남자,1,카드,0,0
2010Q1,20대,남자,1,카드론,0,0
2010Q1,20대,남자,1,할부,119,1
2010Q1,20대,남자,1,-,0,0
2010Q1,20대,남자,2,기타,21,1
2010Q1,20대,남자,2,대출,0,0
2010Q1,20대,남자,2,보증,273,1
2010Q1,20대,남자,2,카드,23,1
2010Q1,20대,남자,2,카드론,0,0
2010Q1,20대,남자,2,할부,138,2
2010Q1,20대,남자,2,-,0,0
2010Q1,20대,남자,3,기타,13,3
2010Q1,20대,남자,3,대출,311,4
2010Q1,20대,남자,3,리스,0,0
2010Q1,20대,남자,3,카드,6,1
2010Q1,20대,남자,3,카드론,0,0
2010Q1,20대,남자,3,할부,0,0
2010Q1,20대,남자,3,-,0,0
2010Q1,20대,남자,4,기타,8,1
2010Q1,20대,남자,4,대출,559,2
2010Q1,20대,남자,4,리스,27,1
2010Q1,20대,남자,4,카드,9,2
2010Q1,20대,남자,4,카드론,0,0
2010Q1,20대,남자,4,할부,31,1
2010Q1,20대,남자,4,-,0,0
2010Q1,20대,남자,5,기타,37,4
2010Q1,20대,남자,5,대출,12383,8
2010Q1,20대,남자,5,보증,47,1
2010Q1,20대,남자,5,카드,20,2
2010Q1,20대,남자,5,카드론,0,0
2010Q1,20대,남자,5,할부,171,2
2010Q1,20대,남자,5,-,0,0
2010Q1,20대,남자,6,기타,5,1
2010Q1,20대,남자,6,대출,489,5
