변환,원자료
2010 1,2.00
2010 2,2.00
2010 3,2.25
2010 4,2.50
2011 1,3.00
2011 2,3.25
2011 3,3.25
2011 4,3.25
2012 1,3.25
2012 2,3.25
2012 3,3.00
2012 4,2.75
2013 1,2.75
2013 2,2.50
2013 3,2.50
2013 4,2.50
2014 1,2.50
2014 2,2.50
2014 3,2.25
2014 4,2.00
2015 1,1.75
2015 2,1.50
2015 3,1.50
2015 4,1.50
2016 1,1.50
2016 2,1.25
2016 3,1.25
2016 4,1.25
2017 1,1.25
2017 2,1.25
2017 3,1.25
2017 4,1.50
2018 1,1.50
2018 2,1.50
2018 3,1.50
2018 4,1.75
2019 1,1.75
2019 2,1.75
2019 3,1.50
2019 4,1.25
2020 1,0.75
2020 2,0.50
2020 3,0.50
2020 4,0.50
2021 1,0.50
2021 2,0.50
2021 3,0.75
