시점,전국
2010 1/4,85.523
2010 2/4,86.070
2010 3/4,86.733
2010 4/4,87.165
2011 1/4,88.806
2011 2/4,89.497
2011 3/4,90.476
2011 4/4,90.620
2012 1/4,91.481
2012 2/4,91.671
2012 3/4,91.933
2012 4/4,92.175
2013 1/4,92.906
2013 2/4,92.785
2013 3/4,93.189
2013 4/4,93.160
2014 1/4,93.954
2014 2/4,94.277
2014 3/4,94.476
2014 4/4,94.075
2015 1/4,94.609
2015 2/4,94.808
2015 3/4,95.086
2015 4/4,94.941
2016 1/4,95.422
2016 2/4,95.605
2016 3/4,95.785
2016 4/4,96.319
2017 1/4,97.521
2017 2/4,97.442
2017 3/4,97.910
2017 4/4,97.707
2018 1/4,98.571
2018 2/4,98.896
2018 3/4,99.424
2018 4/4,99.453
2019 1/4,99.105
2019 2/4,99.541
2019 3/4,99.469
2019 4/4,99.747
2020 1/4,100.06
2020 2/4,99.55
2020 3/4,100.19
2020 4/4,100.20
2021 1/4,101.49
2021 2/4,102.03
2021 3/4,102.73
