시점,저축성수신(금융채제외) 1) (연리%)
2010. 01,3.84
2010. 02,3.58
2010. 03,3.25
2010. 04,2.86
2010. 05,2.84
2010. 06,2.96
2010. 07,3.03
2010. 08,3.11
2010. 09,3.05
2010. 10,2.99
2010. 11,3.06
2010. 12,3.30
2011. 01,3.43
2011. 02,3.59
2011. 03,3.64
2011. 04,3.67
2011. 05,3.65
2011. 06,3.69
2011. 07,3.78
2011. 08,3.75
2011. 09,3.70
2011. 10,3.70
2011. 11,3.68
2011. 12,3.76
2012. 01,3.74
2012. 02,3.71
2012. 03,3.70
2012. 04,3.70
2012. 05,3.63
2012. 06,3.62
2012. 07,3.42
2012. 08,3.19
2012. 09,3.18
2012. 10,3.08
2012. 11,3.02
2012. 12,3.10
2013. 01,3.00
2013. 02,2.93
2013. 03,2.86
2013. 04,2.74
2013. 05,2.66
2013. 06,2.64
2013. 07,2.61
2013. 08,2.60
2013. 09,2.61
2013. 10,2.60
2013. 11,2.59
2013. 12,2.66
2014. 01,2.63
2014. 02,2.61
2014. 03,2.58
2014. 04,2.58
2014. 05,2.57
2014. 06,2.56
2014. 07,2.47
2014. 08,2.35
2014. 09,2.27
2014. 10,2.17
2014. 11,2.10
2014. 12,2.16
2015. 01,2.08
2015. 02,2.02
2015. 03,1.91
2015. 04,1.77
2015. 05,1.73
2015. 06,1.65
2015. 07,1.55
2015. 08,1.53
2015. 09,1.51
2015. 10,1.56
2015. 11,1.64
2015. 12,1.72
2016. 01,1.63
2016. 02,1.56
2016. 03,1.54
2016. 04,1.55
2016. 05,1.53
2016. 06,1.43
2016. 07,1.31
2016. 08,1.31
2016. 09,1.33
2016. 10,1.40
2016. 11,1.49
2016. 12,1.54
2017. 01,1.47
2017. 02,1.45
2017. 03,1.46
2017. 04,1.44
2017. 05,1.44
2017. 06,1.46
2017. 07,1.44
2017. 08,1.46
2017. 09,1.50
2017. 10,1.59
2017. 11,1.74
2017. 12,1.78
2018. 01,1.76
2018. 02,1.75
2018. 03,1.81
2018. 04,1.79
2018. 05,1.81
2018. 06,1.83
2018. 07,1.79
2018. 08,1.79
2018. 09,1.82
2018. 10,1.92
2018. 11,1.95
2018. 12,2.05
2019. 01,2.01
2019. 02,1.92
2019. 03,1.93
2019. 04,1.87
2019. 05,1.86
2019. 06,1.80
2019. 07,1.71
2019. 08,1.54
2019. 09,1.58
2019. 10,1.55
2019. 11,1.62
2019. 12,1.60
2020. 01,1.53
2020. 02,1.43
2020. 03,1.27
2020. 04,1.22
2020. 05,1.07
2020. 06,0.88
2020. 07,0.81
2020. 08,0.80
2020. 09,0.87
2020. 10,0.87
2020. 11,0.89
2020. 12,0.89
2021. 01,0.85
2021. 02,0.83
2021. 03,0.84
2021. 04,0.82
2021. 05,0.82
2021. 06,0.90
2021. 07,0.92
2021. 08,1.00
2021. 09,1.16
2021. 10,1.28
2021. 11,1.53
2021. 12,1.69
