시점,성별,연령계층별,데이터
2010 1/4,계,계,4.6
2010 1/4,계,15 - 19세,15.0
2010 1/4,계,20 - 29세,9.0
2010 1/4,계,30 - 39세,3.9
2010 1/4,계,40 - 49세,2.9
2010 1/4,계,50 - 59세,3.2
2010 1/4,계,60세이상,5.8
2010 1/4,남자,계,4.8
2010 1/4,남자,15 - 19세,21.6
2010 1/4,남자,20 - 29세,10.1
2010 1/4,남자,30 - 39세,4.3
2010 1/4,남자,40 - 49세,2.9
2010 1/4,남자,50 - 59세,3.7
2010 1/4,남자,60세이상,5.2
2010 1/4,여자,계,4.4
2010 1/4,여자,15 - 19세,10.6
2010 1/4,여자,20 - 29세,8.1
2010 1/4,여자,30 - 39세,3.2
2010 1/4,여자,40 - 49세,2.9
2010 1/4,여자,50 - 59세,2.3
2010 1/4,여자,60세이상,6.6
2010 2/4,계,계,3.5
2010 2/4,계,15 - 19세,13.5
2010 2/4,계,20 - 29세,7.4
2010 2/4,계,30 - 39세,3.6
2010 2/4,계,40 - 49세,2.3
2010 2/4,계,50 - 59세,2.1
2010 2/4,계,60세이상,2.0
2010 2/4,남자,계,3.9
2010 2/4,남자,15 - 19세,18.4
2010 2/4,남자,20 - 29세,8.8
2010 2/4,남자,30 - 39세,4.1
2010 2/4,남자,40 - 49세,2.4
2010 2/4,남자,50 - 59세,2.5
2010 2/4,남자,60세이상,2.6
2010 2/4,여자,계,2.9
2010 2/4,여자,15 - 19세,10.4
2010 2/4,여자,20 - 29세,6.0
2010 2/4,여자,30 - 39세,2.6
2010 2/4,여자,40 - 49세,2.1
2010 2/4,여자,50 - 59세,1.6
2010 2/4,여자,60세이상,1.3
2010 3/4,계,계,3.5
2010 3/4,계,15 - 19세,8.5
2010 3/4,계,20 - 29세,7.5
2010 3/4,계,30 - 39세,3.5
2010 3/4,계,40 - 49세,2.5
2010 3/4,계,50 - 59세,2.3
2010 3/4,계,60세이상,2.0
2010 3/4,남자,계,3.7
2010 3/4,남자,15 - 19세,10.1
2010 3/4,남자,20 - 29세,9.0
2010 3/4,남자,30 - 39세,3.7
2010 3/4,남자,40 - 49세,2.4
2010 3/4,남자,50 - 59세,2.5
2010 3/4,남자,60세이상,2.6
2010 3/4,여자,계,3.1
2010 3/4,여자,15 - 19세,7.5
2010 3/4,여자,20 - 29세,6.0
2010 3/4,여자,30 - 39세,3.2
2010 3/4,여자,40 - 49세,2.5
2010 3/4,여자,50 - 59세,1.9
2010 3/4,여자,60세이상,1.1
2010 4/4,계,계,3.3
2010 4/4,계,15 - 19세,10.6
2010 4/4,계,20 - 29세,6.9
2010 4/4,계,30 - 39세,3.2
2010 4/4,계,40 - 49세,2.2
2010 4/4,계,50 - 59세,2.3
2010 4/4,계,60세이상,1.9
2010 4/4,남자,계,3.5
2010 4/4,남자,15 - 19세,11.1
2010 4/4,남자,20 - 29세,8.2
2010 4/4,남자,30 - 39세,3.4
2010 4/4,남자,40 - 49세,2.3
2010 4/4,남자,50 - 59세,2.7
2010 4/4,남자,60세이상,2.4
2010 4/4,여자,계,2.9
2010 4/4,여자,15 - 19세,10.2
2010 4/4,여자,20 - 29세,5.8
2010 4/4,여자,30 - 39세,2.8
2010 4/4,여자,40 - 49세,2.2
2010 4/4,여자,50 - 59세,1.6
2010 4/4,여자,60세이상,1.0
2011 1/4,계,계,4.2
2011 1/4,계,15 - 19세,12.7
2011 1/4,계,20 - 29세,8.5
2011 1/4,계,30 - 39세,3.9
2011 1/4,계,40 - 49세,2.5
2011 1/4,계,50 - 59세,2.7
2011 1/4,계,60세이상,4.5
2011 1/4,남자,계,4.3
2011 1/4,남자,15 - 19세,14.1
2011 1/4,남자,20 - 29세,9.9
2011 1/4,남자,30 - 39세,3.9
2011 1/4,남자,40 - 49세,2.7
2011 1/4,남자,50 - 59세,2.8
2011 1/4,남자,60세이상,4.4
2011 1/4,여자,계,4.1
2011 1/4,여자,15 - 19세,11.6
2011 1/4,여자,20 - 29세,7.2
2011 1/4,여자,30 - 39세,4.0
2011 1/4,여자,40 - 49세,2.3
2011 1/4,여자,50 - 59세,2.5
2011 1/4,여자,60세이상,4.7
2011 2/4,계,계,3.4
2011 2/4,계,15 - 19세,9.1
2011 2/4,계,20 - 29세,7.8
2011 2/4,계,30 - 39세,3.5
2011 2/4,계,40 - 49세,2.1
2011 2/4,계,50 - 59세,2.0
2011 2/4,계,60세이상,2.2
2011 2/4,남자,계,3.6
2011 2/4,남자,15 - 19세,8.7
2011 2/4,남자,20 - 29세,9.5
2011 2/4,남자,30 - 39세,3.4
2011 2/4,남자,40 - 49세,2.1
2011 2/4,남자,50 - 59세,2.3
2011 2/4,남자,60세이상,3.0
2011 2/4,여자,계,3.1
2011 2/4,여자,15 - 19세,9.3
2011 2/4,여자,20 - 29세,6.2
2011 2/4,여자,30 - 39세,3.7
2011 2/4,여자,40 - 49세,2.2
2011 2/4,여자,50 - 59세,1.6
2011 2/4,여자,60세이상,1.2
2011 3/4,계,계,3.1
2011 3/4,계,15 - 19세,11.3
2011 3/4,계,20 - 29세,6.4
2011 3/4,계,30 - 39세,3.2
2011 3/4,계,40 - 49세,2.0
2011 3/4,계,50 - 59세,2.1
2011 3/4,계,60세이상,2.1
2011 3/4,남자,계,3.4
2011 3/4,남자,15 - 19세,12.9
2011 3/4,남자,20 - 29세,7.5
2011 3/4,남자,30 - 39세,3.3
2011 3/4,남자,40 - 49세,2.2
2011 3/4,남자,50 - 59세,2.5
2011 3/4,남자,60세이상,2.6
2011 3/4,여자,계,2.7
2011 3/4,여자,15 - 19세,10.0
2011 3/4,여자,20 - 29세,5.4
2011 3/4,여자,30 - 39세,2.9
2011 3/4,여자,40 - 49세,1.7
2011 3/4,여자,50 - 59세,1.5
2011 3/4,여자,60세이상,1.5
2011 4/4,계,계,2.9
2011 4/4,계,15 - 19세,9.6
2011 4/4,계,20 - 29세,6.9
2011 4/4,계,30 - 39세,2.9
2011 4/4,계,40 - 49세,1.9
2011 4/4,계,50 - 59세,1.8
2011 4/4,계,60세이상,1.8
2011 4/4,남자,계,3.2
2011 4/4,남자,15 - 19세,12.5
2011 4/4,남자,20 - 29세,8.3
2011 4/4,남자,30 - 39세,3.1
2011 4/4,남자,40 - 49세,1.9
2011 4/4,남자,50 - 59세,2.1
2011 4/4,남자,60세이상,2.2
2011 4/4,여자,계,2.6
2011 4/4,여자,15 - 19세,7.5
2011 4/4,여자,20 - 29세,5.6
2011 4/4,여자,30 - 39세,2.5
2011 4/4,여자,40 - 49세,1.9
2011 4/4,여자,50 - 59세,1.3
2011 4/4,여자,60세이상,1.2
2012 1/4,계,계,3.8
2012 1/4,계,15 - 19세,10.6
2012 1/4,계,20 - 29세,8.0
2012 1/4,계,30 - 39세,3.2
2012 1/4,계,40 - 49세,2.4
2012 1/4,계,50 - 59세,2.4
2012 1/4,계,60세이상,4.4
2012 1/4,남자,계,3.8
2012 1/4,남자,15 - 19세,10.6
2012 1/4,남자,20 - 29세,9.1
2012 1/4,남자,30 - 39세,3.3
2012 1/4,남자,40 - 49세,2.4
2012 1/4,남자,50 - 59세,2.6
2012 1/4,남자,60세이상,4.3
2012 1/4,여자,계,3.7
2012 1/4,여자,15 - 19세,10.6
2012 1/4,여자,20 - 29세,7.1
2012 1/4,여자,30 - 39세,3.1
2012 1/4,여자,40 - 49세,2.5
2012 1/4,여자,50 - 59세,1.9
2012 1/4,여자,60세이상,4.5
2012 2/4,계,계,3.2
2012 2/4,계,15 - 19세,7.4
2012 2/4,계,20 - 29세,8.1
2012 2/4,계,30 - 39세,3.2
2012 2/4,계,40 - 49세,2.0
2012 2/4,계,50 - 59세,2.0
2012 2/4,계,60세이상,2.0
2012 2/4,남자,계,3.4
2012 2/4,남자,15 - 19세,7.1
2012 2/4,남자,20 - 29세,9.1
2012 2/4,남자,30 - 39세,3.4
2012 2/4,남자,40 - 49세,2.0
2012 2/4,남자,50 - 59세,2.3
2012 2/4,남자,60세이상,2.6
2012 2/4,여자,계,3.0
2012 2/4,여자,15 - 19세,7.6
2012 2/4,여자,20 - 29세,7.2
2012 2/4,여자,30 - 39세,2.8
2012 2/4,여자,40 - 49세,1.9
2012 2/4,여자,50 - 59세,1.7
2012 2/4,여자,60세이상,1.2
2012 3/4,계,계,3.0
2012 3/4,계,15 - 19세,8.6
2012 3/4,계,20 - 29세,6.7
2012 3/4,계,30 - 39세,2.8
2012 3/4,계,40 - 49세,2.0
2012 3/4,계,50 - 59세,2.2
2012 3/4,계,60세이상,2.0
2012 3/4,남자,계,3.2
2012 3/4,남자,15 - 19세,9.1
2012 3/4,남자,20 - 29세,7.5
2012 3/4,남자,30 - 39세,2.9
2012 3/4,남자,40 - 49세,2.1
2012 3/4,남자,50 - 59세,2.6
2012 3/4,남자,60세이상,2.6
2012 3/4,여자,계,2.7
2012 3/4,여자,15 - 19세,8.2
2012 3/4,여자,20 - 29세,5.9
2012 3/4,여자,30 - 39세,2.5
2012 3/4,여자,40 - 49세,1.8
2012 3/4,여자,50 - 59세,1.7
2012 3/4,여자,60세이상,1.0
2012 4/4,계,계,2.8
