월,지수
2010년 01월,78.36931006
2010년 02월,78.57333863
2010년 03월,78.74687057
2010년 04월,78.88441969
2010년 05월,78.90369068
2010년 06월,78.90235562
2010년 07월,78.77809818
2010년 08월,78.69866369
2010년 09월,78.74992472
2010년 10월,78.88441261
2010년 11월,79.14067284
2010년 12월,79.41057851
2011년 01월,79.73653691
2011년 02월,80.29437425
2011년 03월,80.99279204
2011년 04월,81.91610606
2011년 05월,82.03916481
2011년 06월,82.42181782
2011년 07월,82.74857127
2011년 08월,83.15004704
2011년 09월,83.56592908
2011년 10월,83.87087987
2011년 11월,84.16923158
2011년 12월,84.28354018
2012년 01월,84.48983353
2012년 02월,84.49587646
2012년 03월,84.51362484
2012년 04월,84.46435804
2012년 05월,84.38769613
2012년 06월,84.2042228
2012년 07월,83.98051642
2012년 08월,83.7444931
2012년 09월,83.54744264
2012년 10월,83.38886201
2012년 11월,83.25339878
2012년 12월,83.07656696
2013년 01월,82.8633871
2013년 02월,82.72067113
2013년 03월,82.65606793
2013년 04월,82.75354386
2013년 05월,82.89616007
2013년 06월,82.92487659
2013년 07월,82.86668645
2013년 08월,82.7584929
2013년 09월,82.79695852
2013년 10월,83.03445814
2013년 11월,83.19601218
2013년 12월,83.3300442
2014년 01월,83.52825099
2014년 02월,83.69722483
2014년 03월,83.89101222
2014년 04월,83.94517369
2014년 05월,83.96268943
2014년 06월,83.97818355
2014년 07월,84.00824419
2014년 08월,84.08544688
2014년 09월,84.28660291
2014년 10월,84.48930318
2014년 11월,84.63482565
2014년 12월,84.75409785
2015년 01월,84.87587443
2015년 02월,85.04719145
2015년 03월,85.30643508
2015년 04월,85.67170728
2015년 05월,85.95888616
2015년 06월,86.28370863
2015년 07월,86.52737479
2015년 08월,86.75817316
2015년 09월,87.04133985
2015년 10월,87.32672346
2015년 11월,87.59675618
2015년 12월,87.72936783
2016년 01월,87.76786828
2016년 02월,87.76819584
2016년 03월,87.76437098
2016년 04월,87.78000747
2016년 05월,87.8096394
2016년 06월,87.84505568
2016년 07월,87.88371674
2016년 08월,87.94553356
2016년 09월,88.01452177
2016년 10월,88.16120625
2016년 11월,88.29523245
2016년 12월,88.35302724
2017년 01월,88.36820805
2017년 02월,88.38138739
2017년 03월,88.4311038
2017년 04월,88.51702972
2017년 05월,88.64394852
2017년 06월,88.83170731
2017년 07월,88.99186997
2017년 08월,89.21206759
2017년 09월,89.32290298
2017년 10월,89.44015327
2017년 11월,89.55680514
2017년 12월,89.65846408
2018년 01월,89.78721183
2018년 02월,89.96409613
2018년 03월,90.07536497
2018년 04월,90.12559961
2018년 05월,90.10291622
2018년 06월,90.08294858
2018년 07월,90.06494804
2018년 08월,90.08620137
2018년 09월,90.36490511
2018년 10월,90.53623043
2018년 11월,90.65108871
2018년 12월,90.64589268
2019년 01월,90.51262637
2019년 02월,90.40711414
2019년 03월,90.26223608
2019년 04월,90.07561229
2019년 05월,89.93153354
2019년 06월,89.81618864
2019년 07월,89.73471085
2019년 08월,89.69087568
2019년 09월,89.70384126
2019년 10월,89.80942606
2019년 11월,89.98047613
2019년 12월,90.32279404
2020년 01월,90.57142319
2020년 02월,90.87654049
2020년 03월,91.36920152
2020년 04월,91.61787398
2020년 05월,91.74158747
2020년 06월,92.11817304
2020년 07월,92.68316522
2020년 08월,93.12136817
2020년 09월,93.51507395
2020년 10월,93.81239916
2020년 11월,94.31680133
2020년 12월,95.16448164
2021년 01월,95.91699718
2021년 02월,96.77535279
2021년 03월,97.4872193
2021년 04월,98.17542084
2021년 05월,98.86155873
2021년 06월,100
2021년 07월,100.8527701
2021년 08월,101.8232676
2021년 09월,102.7556195
