날짜,지수
2010년 01월,68.44321877
2010년 02월,68.83660039
2010년 03월,69.27321788
2010년 04월,69.6874032
2010년 05월,69.9875434
2010년 06월,70.2205517
2010년 07월,70.40011209
2010년 08월,70.62874805
2010년 09월,71.06205035
2010년 10월,71.64006878
2010년 11월,72.33629744
2010년 12월,72.82193986
2011년 01월,73.38334889
2011년 02월,74.51254574
2011년 03월,75.8004868
2011년 04월,77.05225842
2011년 05월,77.19781972
2011년 06월,77.68098152
2011년 07월,78.28639282
2011년 08월,79.13939106
2011년 09월,80.1897752
2011년 10월,80.88788408
2011년 11월,81.28233168
2011년 12월,81.34549594
2012년 01월,81.66241944
2012년 02월,81.75395068
2012년 03월,81.82035797
2012년 04월,81.86267661
2012년 05월,81.88490618
2012년 06월,81.85228468
2012년 07월,81.72656736
2012년 08월,81.67946459
2012년 09월,81.87071059
2012년 10월,82.14654663
2012년 11월,82.35538663
2012년 12월,82.52232835
2013년 01월,82.6893311
2013년 02월,82.87118273
2013년 03월,83.16272238
2013년 04월,83.55404351
2013년 05월,83.79707686
2013년 06월,83.97808012
2013년 07월,84.23058102
2013년 08월,84.58286486
2013년 09월,85.0184388
2013년 10월,85.59704342
2013년 11월,86.04182187
2013년 12월,86.40435312
2014년 01월,86.91199591
2014년 02월,87.33468805
2014년 03월,87.7439615
2014년 04월,87.86654532
2014년 05월,87.92376468
2014년 06월,88.00799
2014년 07월,88.12232691
2014년 08월,88.27165164
2014년 09월,88.54676187
2014년 10월,88.83703064
2014년 11월,89.10104072
2014년 12월,89.3398184
2015년 01월,89.58061591
2015년 02월,89.87750008
2015년 03월,90.29471429
2015년 04월,90.83019122
2015년 05월,91.23276341
2015년 06월,91.68429524
2015년 07월,91.99653162
2015년 08월,92.27957494
2015년 09월,92.65894214
2015년 10월,93.04622327
2015년 11월,93.42993618
2015년 12월,93.67082806
2016년 01월,93.79881344
2016년 02월,93.90524322
2016년 03월,94.00279411
2016년 04월,94.12582202
2016년 05월,94.22782489
2016년 06월,94.32686741
2016년 07월,94.40386734
2016년 08월,94.4789357
2016년 09월,94.55315995
2016년 10월,94.68925941
2016년 11월,94.82983124
2016년 12월,94.90753626
2017년 01월,94.93626235
2017년 02월,94.9683923
2017년 03월,95.03961816
2017년 04월,95.10342507
2017년 05월,95.17420698
2017년 06월,95.24788779
2017년 07월,95.30172481
2017년 08월,95.37369794
2017년 09월,95.43236928
2017년 10월,95.48551091
2017년 11월,95.53047436
2017년 12월,95.50426646
2018년 01월,95.45862179
2018년 02월,95.3730988
2018년 03월,95.24502595
2018년 04월,95.06218677
2018년 05월,94.80011631
2018년 06월,94.561375
2018년 07월,94.36241724
2018년 08월,94.17614201
2018년 09월,94.1011619
2018년 10월,94.05134239
2018년 11월,93.96463516
2018년 12월,93.78847389
2019년 01월,93.58384931
2019년 02월,93.37627771
2019년 03월,93.14546428
2019년 04월,92.87533647
2019년 05월,92.67329326
2019년 06월,92.47835111
2019년 07월,92.30648522
2019년 08월,92.21402202
2019년 09월,92.19065228
2019년 10월,92.26997895
2019년 11월,92.40273701
2019년 12월,92.60311799
2020년 01월,92.85935961
2020년 02월,93.05417317
2020년 03월,93.23252342
2020년 04월,93.33308789
2020년 05월,93.41583476
2020년 06월,93.65886754
2020년 07월,93.96212039
2020년 08월,94.37232219
2020년 09월,94.86815388
2020년 10월,95.31381356
2020년 11월,95.94052718
2020년 12월,96.86839072
2021년 01월,97.55448006
2021년 02월,98.18351933
2021년 03월,98.63679196
2021년 04월,98.99129216
2021년 05월,99.34518648
2021년 06월,100
2021년 07월,100.5884397
2021년 08월,101.2258426
2021년 09월,101.8246896
