시점,가계대출 (연리%),소액대출 (500만원 이하) (연리%),주택담보대출 (연리%),예.적금담보대출 (연리%),보증대출 (연리%),일반신용대출 2) (연리%),집단대출 2) (연리%)
2010.01,6.02,6.88,5.88,5.43,6.06,7.64,5.42
2010.02,5.92,5.95,5.75,5.44,5.66,7.41,5.36
2010.03,5.80,6.63,5.47,5.42,5.68,7.42,5.42
2010.04,5.46,6.66,5.07,5.20,5.49,7.01,5.02
2010.05,5.16,6.32,4.78,5.21,5.35,6.27,4.72
2010.06,5.15,6.64,4.62,5.33,5.47,7.06,4.74
2010.07,5.13,6.73,4.70,5.42,5.34,7.22,4.55
2010.08,5.26,5.86,4.81,5.48,4.87,7.22,4.59
2010.09,5.22,6.56,4.80,5.43,5.14,7.22,4.48
2010.10,5.21,6.79,4.74,5.38,5.06,7.36,4.53
2010.11,5.15,6.97,4.65,5.35,5.12,7.35,4.58
2010.12,5.08,6.65,4.67,5.26,5.34,7.10,4.49
2011.01,5.30,6.33,4.80,5.20,5.48,7.44,4.74
2011.02,5.26,5.74,4.86,5.31,5.15,7.33,4.66
2011.03,5.41,6.66,4.89,5.31,5.42,7.76,4.87
2011.04,5.42,6.85,4.88,5.33,5.51,7.70,5.16
2011.05,5.49,7.06,4.90,5.39,5.69,7.70,5.18
2011.06,5.47,7.02,4.87,5.39,5.54,7.53,5.17
2011.07,5.46,6.83,4.90,5.43,5.45,7.79,5.19
2011.08,5.58,6.21,4.97,5.43,5.50,7.96,4.96
2011.09,5.66,6.41,5.00,5.42,5.36,8.27,5.24
2011.10,5.56,7.02,5.01,5.47,5.54,8.22,4.90
2011.11,5.60,7.18,5.01,5.48,5.50,8.27,4.83
2011.12,5.37,6.73,4.95,5.35,5.46,7.90,4.65
2012.01,5.80,6.39,5.06,5.29,5.63,8.16,5.19
2012.02,5.67,6.17,5.02,5.31,5.41,8.05,5.17
2012.03,5.62,6.52,5.00,5.27,5.42,8.14,5.05
2012.04,5.54,6.89,4.94,5.10,5.34,8.15,5.11
2012.05,5.51,7.05,4.85,5.22,5.50,7.95,5.13
2012.06,5.38,6.99,4.76,5.20,5.37,7.89,5.03
2012.07,5.20,6.81,4.64,5.11,5.34,6.71,4.95
2012.08,4.90,6.23,4.41,5.03,5.05,6.28,4.46
2012.09,4.86,6.58,4.29,4.99,5.00,6.94,4.39
2012.10,4.84,6.63,4.23,4.97,5.33,7.02,4.42
2012.11,4.74,6.61,4.19,4.93,4.88,7.03,4.31
2012.12,4.54,6.27,4.16,4.88,4.61,6.87,4.01
2013.01,4.84,6.01,4.17,4.79,4.79,7.02,4.37
2013.02,4.61,5.69,4.06,4.80,4.52,6.75,4.13
2013.03,4.55,6.23,3.97,4.74,4.54,6.62,4.04
2013.04,4.42,6.33,3.86,4.65,4.47,6.55,4.06
2013.05,4.30,6.25,3.77,4.61,4.43,6.41,4.05
2013.06,4.11,6.10,3.73,4.55,4.29,6.19,3.83
2013.07,4.31,6.01,3.77,4.47,4.29,6.25,4.05
2013.08,4.33,5.53,3.80,4.45,4.13,6.13,3.92
2013.09,4.26,5.70,3.82,4.42,4.12,5.87,3.71
2013.10,4.21,5.87,3.81,4.39,4.07,5.87,3.71
2013.11,4.19,5.90,3.77,4.32,4.05,5.90,3.71
2013.12,4.10,5.79,3.74,4.28,3.97,5.80,3.65
2014.01,4.15,5.43,3.75,4.28,4.01,5.85,3.71
2014.02,4.05,5.49,3.71,4.21,3.94,5.63,3.69
2014.03,4.09,5.51,3.69,4.21,3.93,5.77,3.77
2014.04,4.04,5.46,3.69,4.13,3.85,5.66,3.70
2014.05,4.02,5.39,3.63,4.12,3.85,5.70,3.70
2014.06,3.94,5.29,3.58,4.12,3.82,5.62,3.61
2014.07,3.93,5.22,3.53,4.09,3.83,5.59,3.65
2014.08,3.76,5.08,3.50,4.02,3.74,5.38,3.53
2014.09,3.76,4.95,3.50,3.98,3.70,5.29,3.47
2014.10,3.64,4.88,3.38,3.90,3.59,5.08,3.43
2014.11,3.55,4.66,3.30,3.81,3.49,4.92,3.36
2014.12,3.55,4.70,3.33,3.73,3.42,4.89,3.24
2015.01,3.59,4.53,3.34,3.84,3.44,4.99,3.37
2015.02,3.48,4.58,3.24,3.75,3.41,4.88,3.30
2015.03,3.21,4.57,2.97,3.65,3.34,4.75,3.20
2015.04,2.96,4.43,2.81,3.59,3.23,4.46,3.17
2015.05,3.27,4.44,3.06,3.57,3.13,4.53,3.03
2015.06,3.22,4.60,3.01,3.48,3.09,4.46,3.04
2015.07,3.17,4.44,2.96,3.41,2.97,4.41,3.05
2015.08,3.13,4.30,2.94,3.37,2.90,4.34,2.87
2015.09,3.11,4.34,2.92,3.33,2.85,4.40,2.84
2015.10,3.06,4.34,2.90,3.30,2.78,4.41,2.77
2015.11,3.16,4.38,3.04,3.28,2.78,4.44,2.86
2015.12,3.23,4.26,3.12,3.25,2.91,4.47,2.88
2016.01,3.28,4.17,3.10,3.25,2.98,4.56,2.98
2016.02,3.21,4.41,2.99,3.21,2.95,4.47,2.90
2016.03,3.24,4.50,2.97,3.12,2.94,4.60,2.95
2016.04,3.17,4.42,2.93,3.11,2.92,4.48,2.91
2016.05,3.16,4.39,2.89,3.09,2.89,4.48,2.90
2016.06,3.06,4.33,2.77,3.02,2.88,4.29,2.94
2016.07,2.96,4.43,2.66,3.00,2.92,4.24,2.82
2016.08,2.95,4.26,2.70,2.94,2.85,4.24,2.79
2016.09,3.03,4.27,2.80,2.96,2.86,4.31,2.90
2016.10,3.08,4.13,2.89,3.00,2.89,4.28,2.90
2016.11,3.20,4.19,3.04,2.99,3.00,4.35,3.01
2016.12,3.29,4.19,3.13,2.98,3.07,4.44,3.16
2017.01,3.39,4.03,3.16,3.00,3.23,4.51,3.17
2017.02,3.38,4.21,3.19,2.96,3.22,4.46,3.15
2017.03,3.43,4.32,3.21,2.93,3.22,4.61,3.10
2017.04,3.41,4.66,3.21,2.94,3.15,4.52,3.06
2017.05,3.47,4.45,3.26,2.85,3.29,4.45,3.15
2017.06,3.41,4.41,3.22,2.93,3.21,4.41,3.12
2017.07,3.46,4.48,3.28,2.89,3.35,4.44,3.16
2017.08,3.39,4.53,3.28,2.92,3.35,3.78,3.09
2017.09,3.41,4.60,3.24,2.92,3.28,4.01,3.22
2017.10,3.51,4.63,3.33,3.01,3.37,4.15,3.52
2017.11,3.59,4.56,3.39,3.03,3.43,4.30,3.53
2017.12,3.61,4.66,3.42,3.01,3.49,4.38,3.52
2018.01,3.71,4.57,3.47,3.06,3.62,4.39,3.52
2018.02,3.65,4.61,3.46,3.04,3.55,4.34,3.44
2018.03,3.69,4.71,3.45,3.08,3.58,4.48,3.54
2018.04,3.69,4.74,3.47,3.08,3.59,4.49,3.43
2018.05,3.75,4.68,3.49,3.15,3.64,4.56,3.54
2018.06,3.72,4.68,3.46,3.14,3.61,4.57,3.45
2018.07,3.73,4.64,3.44,3.14,3.65,4.56,3.52
2018.08,3.66,4.48,3.36,3.15,3.58,4.47,3.41
2018.09,3.62,4.64,3.29,3.22,3.56,4.39,3.40
2018.10,3.64,4.42,3.31,3.23,3.57,4.45,3.45
2018.11,3.63,4.56,3.28,3.25,3.57,4.56,3.30
2018.12,3.61,4.63,3.19,3.26,3.58,4.64,3.23
2019.01,3.58,4.44,3.12,3.26,3.60,4.57,3.14
2019.02,3.50,4.56,3.08,3.24,3.49,4.49,3.11
2019.03,3.53,4.63,3.04,3.26,3.48,4.63,3.09
2019.04,3.48,4.65,2.98,3.21,3.43,4.54,3.12
2019.05,3.49,4.65,2.93,3.20,3.43,4.40,3.28
2019.06,3.25,4.55,2.74,3.21,3.20,4.23,2.85
2019.07,3.12,4.37,2.64,3.12,3.11,3.96,2.76
2019.08,2.92,4.13,2.47,3.02,2.95,3.63,2.76
2019.09,3.02,4.36,2.51,3.08,3.20,3.86,2.88
2019.10,3.01,4.59,2.50,3.02,3.25,3.90,2.75
2019.11,2.96,4.56,2.45,3.05,3.18,3.90,3.10
2019.12,2.98,4.58,2.45,3.05,3.24,3.87,2.98
2020.01,2.95,4.49,2.51,3.01,3.13,3.83,2.94
2020.02,2.90,4.49,2.52,2.93,3.02,3.70,2.75
2020.03,2.88,4.33,2.48,2.84,2.99,3.49,2.61
2020.04,2.89,4.36,2.58,2.74,2.93,3.50,2.69
2020.05,2.81,4.26,2.52,2.67,2.83,3.33,2.53
2020.06,2.67,4.12,2.49,2.58,2.66,2.93,2.46
2020.07,2.62,4.23,2.45,2.52,2.58,2.92,2.50
2020.08,2.55,3.88,2.39,2.52,2.49,2.86,2.40
2020.09,2.59,3.98,2.44,2.53,2.52,2.89,2.41
2020.10,2.64,4.30,2.47,2.54,2.51,3.15,2.57
2020.11,2.72,4.34,2.56,2.56,2.66,3.01,2.68
2020.12,2.79,4.25,2.59,2.50,2.69,3.50,2.71
2021.01,2.83,4.06,2.63,2.47,2.70,3.46,2.85
2021.02,2.81,4.11,2.66,2.39,2.64,3.61,2.95
2021.03,2.88,4.13,2.73,2.35,2.67,3.70,3.07
2021.04,2.91,4.21,2.73,2.32,2.73,3.65,3.25
2021.05,2.89,4.37,2.69,2.25,2.67,3.69,2.81
2021.06,2.92,4.58,2.74,2.30,2.65,3.75,3.06
2021.07,2.98,4.64,2.81,2.34,2.76,3.86,3.20
2021.08,3.10,4.97,2.88,2.38,2.85,3.97,3.14
2021.09,3.18,4.98,3.01,2.46,2.92,4.15,3.19
2021.10,3.46,5.04,3.26,2.44,3.09,4.62,3.71
2021.11,3.61,5.08,3.51,2.51,3.26,5.16,3.99
2021.12,3.66,5.09,3.63,2.54,3.29,5.12,3.87
