날짜,전세자금대출
2016-01-01,41.40247
2016-02-01,38.46471
2016-03-01,36.31154
2016-04-01,32.17795
2016-05-01,34.17859
2016-06-01,35.43004
2016-07-01,34.37073
2016-08-01,39.72459
2016-09-01,36.32081
2016-10-01,40.90188
2016-11-01,40.78137
2016-12-01,48.18981
2017-01-01,52.6942
2017-02-01,47.00662
2017-03-01,42.43902
2017-04-01,35.80337
2017-05-01,39.96224
2017-06-01,40.52097
2017-07-01,41.92327
2017-08-01,50.06067
2017-09-01,44.19359
2017-10-01,55.15666
2017-11-01,56.6761
2017-12-01,53.9524
2018-01-01,68.69006
2018-02-01,54.2187
2018-03-01,57.34354
2018-04-01,49.41935
2018-05-01,49.82892
2018-06-01,49.10923
2018-07-01,52.94449
2018-08-01,62.14373
2018-09-01,60.15573
2018-10-01,68.47853
2018-11-01,64.32724
2018-12-01,71.83428
2019-01-01,86.98993
2019-02-01,75.74202
2019-03-01,67.97963
2019-04-01,59.7015
2019-05-01,68.25774
2019-06-01,63.16596
2019-07-01,66.8074
2019-08-01,71.4441
2019-09-01,76.92521
2019-10-01,76.07743
2019-11-01,72.99978
2019-12-01,84.58057
2020-01-01,97.00662
2020-02-01,86.20367
2020-03-01,92.7542
2020-04-01,84.68254
2020-05-01,80.42001
2020-06-01,90.32967
2020-07-01,93.50171
2020-08-01,100.0
2020-09-01,82.51251
2020-10-01,87.48462
2020-11-01,88.39813
2020-12-01,95.4088
2021-01-01,95.61443
2021-02-01,74.19982
2021-03-01,76.98504
2021-04-01,66.18378
2021-05-01,68.34791
2021-06-01,67.46641
2021-07-01,71.47022
2021-08-01,89.71616
2021-09-01,75.44959
