지 역,전국
2012년 01월,241108
2012년 02월,240843
2012년 03월,240486
2012년 04월,239725
2012년 05월,239186
2012년 06월,238249
2012년 07월,237240
2012년 08월,236058
2012년 09월,235050
2012년 10월,234198
2012년 11월,233522
2012년 12월,231416
2013년 01월,230467
2013년 02월,229870
2013년 03월,229875
2013년 04월,229924
2013년 05월,230307
2013년 06월,230150
2013년 07월,229578
2013년 08월,229072
2013년 09월,229121
2013년 10월,229739
2013년 11월,230110
2013년 12월,230364
2014년 01월,231351
2014년 02월,231740
2014년 03월,232338
2014년 04월,232437
2014년 05월,232430
2014년 06월,232431
2014년 07월,232383
2014년 08월,232606
2014년 09월,233258
2014년 10월,233902
2014년 11월,233909
2014년 12월,234176
2015년 01월,231658
2015년 02월,232181
2015년 03월,233006
2015년 04월,234157
2015년 05월,235123
2015년 06월,236171
2015년 07월,242371
2015년 08월,243153
2015년 09월,244032
2015년 10월,244938
2015년 11월,245676
2015년 12월,246134
2016년 01월,246194
2016년 02월,246114
2016년 03월,246098
2016년 04월,246162
2016년 05월,246318
2016년 06월,246414
2016년 07월,246615
2016년 08월,247023
2016년 09월,247169
2016년 10월,247791
2016년 11월,248318
2016년 12월,248452
2017년 01월,248457
2017년 02월,248640
2017년 03월,249156
2017년 04월,249475
2017년 05월,249959
2017년 06월,250921
2017년 07월,251522
2017년 08월,252429
2017년 09월,252787
2017년 10월,253259
2017년 11월,253839
2017년 12월,278985
2018년 01월,280615
2018년 02월,282377
2018년 03월,283340
2018년 04월,283813
2018년 05월,284036
2018년 06월,284224
2018년 07월,284483
2018년 08월,285268
2018년 09월,287487
2018년 10월,288695
2018년 11월,289306
2018년 12월,289448
2019년 01월,307279
2019년 02월,306725
2019년 03월,306155
2019년 04월,305480
2019년 05월,305053
2019년 06월,304869
2019년 07월,304980
2019년 08월,305248
2019년 09월,305797
2019년 10월,306826
2019년 11월,308186
2019년 12월,310734
2020년 01월,320854
2020년 02월,322306
2020년 03월,324460
2020년 04월,325413
2020년 05월,325780
2020년 06월,327333
2020년 07월,330280
2020년 08월,332498
2020년 09월,334399
2020년 10월,335685
2020년 11월,337897
2020년 12월,341347
2021년 01월,344491
2021년 02월,348256
2021년 03월,351059
2021년 04월,353795
2021년 05월,356556
2021년 06월,361192
2021년 07월,411499
2021년 08월,415945
2021년 09월,419990
2021년 10월,423864
2021년 11월,426454
2021년 12월,427501
