지 역,전국
2012년 01월,128688
2012년 02월,128763
2012년 03월,128802
2012년 04월,128674
2012년 05월,128555
2012년 06월,128336
2012년 07월,127971
2012년 08월,127752
2012년 09월,128041
2012년 10월,128509
2012년 11월,128931
2012년 12월,128853
2013년 01월,129141
2013년 02월,129495
2013년 03월,130221
2013년 04월,130969
2013년 05월,131334
2013년 06월,131636
2013년 07월,132186
2013년 08월,132971
2013년 09월,133898
2013년 10월,135120
2013년 11월,135997
2013년 12월,136721
2014년 01월,138340
2014년 02월,139242
2014년 03월,140110
2014년 04월,140341
2014년 05월,140439
2014년 06월,140584
2014년 07월,140779
2014년 08월,141085
2014년 09월,141674
2014년 10월,142282
2014년 11월,142691
2014년 12월,143186
2015년 01월,142623
2015년 02월,143290
2015년 03월,144153
2015년 04월,145343
2015년 05월,146247
2015년 06월,147192
2015년 07월,157513
2015년 08월,158130
2015년 09월,158956
2015년 10월,159789
2015년 11월,160751
2015년 12월,161368
2016년 01월,161636
2016년 02월,161946
2016년 03월,162149
2016년 04월,162425
2016년 05월,162663
2016년 06월,162988
2016년 07월,163226
2016년 08월,163509
2016년 09월,164182
2016년 10월,164590
2016년 11월,164933
2016년 12월,165100
2017년 01월,165170
2017년 02월,165339
2017년 03월,165666
2017년 04월,165850
2017년 05월,166075
2017년 06월,166342
2017년 07월,166500
2017년 08월,166685
2017년 09월,166834
2017년 10월,166967
2017년 11월,167154
2017년 12월,188568
2018년 01월,188672
2018년 02월,188606
2018년 03월,188284
2018년 04월,187806
2018년 05월,187147
2018년 06월,186643
2018년 07월,186321
2018년 08월,186101
2018년 09월,186210
2018년 10월,186291
2018년 11월,186201
2018년 12월,185830
2019년 01월,190358
2019년 02월,189717
2019년 03월,189075
2019년 04월,188404
2019년 05월,187954
2019년 06월,187607
2019년 07월,187382
2019년 08월,187354
2019년 09월,187492
2019년 10월,187862
2019년 11월,188388
2019년 12월,189158
2020년 01월,193470
2020년 02월,194104
2020년 03월,194649
2020년 04월,195010
2020년 05월,195267
2020년 06월,195958
2020년 07월,196901
2020년 08월,198146
2020년 09월,199620
2020년 10월,200976
2020년 11월,202890
2020년 12월,205624
2021년 01월,207643
2021년 02월,209317
2021년 03월,210535
2021년 04월,211340
2021년 05월,212133
2021년 06월,213917
2021년 07월,248136
2021년 08월,250105
2021년 09월,251816
2021년 10월,253595
2021년 11월,254839
2021년 12월,255445
