,코스피지수,코스닥지수
"2010
01월","1,602.43",496.57
"2010
02월","1,594.58",507.03
"2010
03월","1,692.85",515.74
"2010
04월","1,741.56",523.75
"2010
05월","1,641.25",489.42
"2010
06월","1,698.29",489.98
"2010
07월","1,759.33",481.45
"2010
08월","1,742.75",464.71
"2010
09월","1,872.81",492.75
"2010
10월","1,882.95",526.45
"2010
11월","1,904.63",498.39
"2010
12월","2,051.00",510.69
"2011
01월","2,069.73",521.38
"2011
02월","1,939.30",504.46
"2011
03월","2,106.70",525.42
"2011
04월","2,192.36",511.00
"2011
05월","2,142.47",484.54
"2011
06월","2,100.69",479.55
"2011
07월","2,133.21",536.05
"2011
08월","1,880.11",493.44
"2011
09월","1,769.65",449.66
"2011
10월","1,909.03",490.69
"2011
11월","1,847.51",492.81
"2011
12월","1,825.74",500.18
"2012
01월","1,955.79",513.99
"2012
02월","2,030.25",542.30
"2012
03월","2,014.04",519.56
"2012
04월","1,981.99",478.89
"2012
05월","1,843.47",471.94
"2012
06월","1,854.01",489.16
"2012
07월","1,881.99",467.61
"2012
08월","1,905.12",508.35
"2012
09월","1,996.21",523.78
"2012
10월","1,912.06",508.31
"2012
11월","1,932.90",499.37
"2012
12월","1,984.80",493.66
"2013
01월","1,961.90",503.67
"2013
02월","2,026.50",535.87
"2013
03월","2,004.90",555.02
"2013
04월","1,964.00",563.87
"2013
05월","2,001.05",577.87
"2013
06월","1,863.32",519.06
"2013
07월","1,914.03",554.31
"2013
08월","1,926.36",516.74
"2013
09월","1,996.96",534.89
"2013
10월","2,030.09",532.44
"2013
11월","2,044.87",517.06
"2013
12월","2,011.34",499.99
"2014
01월","1,941.15",515.20
"2014
02월","1,979.99",528.96
"2014
03월","1,985.61",541.58
"2014
04월","1,961.79",559.34
"2014
05월","1,994.96",546.53
"2014
06월","2,002.21",537.06
"2014
07월","2,076.12",536.32
"2014
08월","2,068.54",570.20
"2014
09월","2,020.09",573.22
"2014
10월","1,964.43",558.70
"2014
11월","1,980.78",545.08
"2014
12월","1,915.59",542.97
"2015
01월","1,949.26",591.58
"2015
02월","1,985.80",624.56
"2015
03월","2,041.03",650.49
"2015
04월","2,127.17",689.01
"2015
05월","2,114.80",711.39
"2015
06월","2,074.20",742.27
"2015
07월","2,030.16",725.06
"2015
08월","1,941.49",687.11
"2015
09월","1,962.81",678.48
"2015
10월","2,029.47",683.63
"2015
11월","1,991.97",688.38
"2015
12월","1,961.31",682.35
"2016
01월","1,912.06",682.80
"2016
02월","1,916.66",651.62
"2016
03월","1,995.85",688.38
"2016
04월","1,994.15",699.77
"2016
05월","1,983.40",698.45
"2016
06월","1,970.35",675.09
"2016
07월","2,016.19",706.24
"2016
08월","2,034.65",663.69
"2016
09월","2,043.63",681.21
"2016
10월","2,008.19",624.68
"2016
11월","1,983.48",596.11
"2016
12월","2,026.46",631.44
"2017
01월","2,067.57",616.13
"2017
02월","2,091.64",612.20
"2017
03월","2,160.23",619.28
"2017
04월","2,205.44",628.24
"2017
05월","2,347.38",652.04
"2017
06월","2,391.79",669.04
"2017
07월","2,402.71",650.47
"2017
08월","2,363.19",657.83
"2017
09월","2,394.47",652.82
"2017
10월","2,523.43",694.20
"2017
11월","2,476.37",771.42
"2017
12월","2,467.49",798.42
"2018
01월","2,566.46",913.57
"2018
02월","2,427.36",857.06
"2018
03월","2,445.85",871.09
"2018
04월","2,515.38",875.95
"2018
05월","2,423.01",879.66
"2018
06월","2,326.13",818.22
"2018
07월","2,295.26",775.52
"2018
08월","2,322.88",816.97
"2018
09월","2,343.07",822.27
"2018
10월","2,029.69",648.67
"2018
11월","2,096.86",695.76
"2018
12월","2,041.04",675.65
"2019
01월","2,204.85",716.86
"2019
02월","2,195.44",731.25
"2019
03월","2,140.67",729.31
"2019
04월","2,203.59",754.74
"2019
05월","2,041.74",696.47
"2019
06월","2,130.62",690.53
"2019
07월","2,024.55",630.18
"2019
08월","1,967.79",610.55
"2019
09월","2,063.05",621.76
"2019
10월","2,083.48",658.52
"2019
11월","2,087.96",636.34
"2019
12월","2,197.67",669.83
"2020
01월","2,119.01",642.48
"2020
02월","1,987.01",610.73
"2020
03월","1,754.64",569.07
"2020
04월","1,947.56",654.18
"2020
05월","2,029.60",713.68
"2020
06월","2,108.33",737.97
"2020
07월","2,249.37",815.30
"2020
08월","2,326.17",848.24
"2020
09월","2,327.89",848.15
"2020
10월","2,267.15",792.65
"2020
11월","2,591.34",968.42
"2020
12월","2,873.47",968.42
"2021
01월","2,976.21",928.73
"2021
02월","3,012.95",913.94
"2021
03월","3,061.42",956.17
"2021
04월","3,147.86",983.45
"2021
05월","3,203.92",981.78
"2021
06월","3,296.68","1,029.96"
"2021
07월","3,202.32","1,031.14"
"2021
08월","3,199.27","1,038.33"
"2021
09월","3,068.82","1,003.27"
